product_name,selling_price_inr,mrp_inr,discount_as_listed,discount_calculated,star_rating,specs,category,platform,source_url,scraped_at
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",18999,20999,9,9.52,4.4,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=1,2026-04-22 16:11:38
"vivo T5x 5G (Star Silver, 128 GB)",22999,28999,20,20.69,4.5,6 GB RAM | 128 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO M6 Plus 5G (Graphite Black, 128 GB)",14499,17999,19,19.45,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)",18999,20999,9,9.52,4.4,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO C75 5G (Aqua Bliss, 128 GB)",11499,,,,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 256 GB)",29999,45999,34,34.78,4.4,8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 13MP | 32MP Front Camera7000 mAh BatterySnapdragon 7s Gen 4 Processor1 Year on Handset and 6 Months on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 128 GB)",22999,24999,8,8.0,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"vivo T4x 5G (Pronto Purple, 256 GB)",20999,,,,4.4,8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"vivo T4R 5G (Twilight Blue, 128 GB)",22999,23499,2,2.13,4.5,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera5700 mAh BatteryDimensity 7400 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO M7 Plus 5G (Carbon Black, 128 GB)",15999,16999,5,5.88,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP AI Dual Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
